keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
FILTER2,Second filter element (multi-filter instruments),Instrument,string,Second filter element,PRIMARY,HST,False,"For instruments with multiple filter wheels, this keyword specifies the second filter element used in conjunction with FILTER1. Together, these two filters determine the exact spectral window observed.",90,"Essential for instruments with multiple filter wheels, as it contributes to defining the observed wavelength range.",
PUPIL,"Pupil wheel element (e.g., CLEAR, MASKBAR, NRM, GRISMR)",Instrument,string,Pupil wheel element,PRIMARY,JWST,False,"This keyword identifies the optical element in the pupil wheel of an instrument, which can include clear apertures, masks for coronagraphy, or dispersive elements like grisms. It determines how the light path is modified before reaching the detector, impacting the observing mode or field of view.",75,"Useful for advanced users to understand the specific optical configuration and observing mode, especially for JWST.",
GRATING,"Grating used during observation (e.g., PRISM, G140M, G235H)",Instrument,string,Grating used during observation,PRIMARY,JWST; HST; FUSE; IUE,False,"For spectroscopic observations, this keyword specifies the dispersing element (e.g., grating, prism) used to spread light into its component wavelengths. It's fundamental for understanding the spectral resolution and the range of wavelengths covered by the spectrum.",95,"Essential for spectroscopic data, as it defines the spectral resolution and wavelength coverage.",
CHANNEL,"Instrument channel (e.g., SHORT, LONG, 12, 34 for MIRI MRS)",Instrument,string,Instrument channel,PRIMARY,JWST; Spitzer,False,"This keyword denotes a specific optical or detector channel within a multi-channel instrument. It helps distinguish data from different parts of an instrument that may have distinct characteristics, such as different wavelength ranges or sensitivities.",80,Useful for understanding specific instrument configurations and the associated data characteristics within a complex instrument.,
BAND,"Wavelength band (e.g., SHORT, MEDIUM, LONG for MIRI MRS)",Instrument,string,Wavelength band,PRIMARY,JWST; GALEX; Pan-STARRS,False,"This keyword describes a broad wavelength band observed, often used in multi-band instruments or for integral field units. It provides a general classification of the spectral region being targeted (e.g., short, medium, long wavelength) and helps categorize the data.",85,Very useful for quickly understanding the broad spectral region targeted by the observation.,
MODULE,"NIRCam module used (A, B, or MULTIPLE)",Instrument,string,NIRCam module used,PRIMARY,JWST,False,"This keyword specifies which of NIRCam's two identical modules (A or B) collected the data, or if both were used for a combined observation. It helps users understand the specific field of view and instrument configuration that produced the data.",75,"Users often care which module was used, especially for understanding the observation geometry or comparing data from different modules.",
LAMP,Internal lamp state for all science instruments (NONE or name),Instrument,string,Internal lamp state,PRIMARY,JWST,False,"This keyword indicates whether an internal calibration lamp was active during the observation. It's crucial for distinguishing between actual science data and frames taken for calibration purposes, such as flat fields or lamp spectra.",85,This is highly relevant for immediately identifying if the data is a science observation or a calibration frame.,
CORONMSK,"MIRI coronagraph mask in use (e.g., 4QPM_1065, LYOT)",Instrument,string,MIRI coronagraph mask in use,PRIMARY,JWST,False,"This keyword identifies the specific coronagraphic mask used for MIRI observations. Coronagraphs block light from a bright central source, which is essential for detecting fainter nearby objects like exoplanets or circumstellar disks.",90,"This is an essential parameter for users analyzing coronagraphic data, as the mask choice directly impacts the scientific capabilities.",
FXD_SLIT,"NIRSpec fixed slit aperture name (S200A1, S200A2, S200B1, S400A1, S1600A1)",Instrument,string,NIRSpec fixed slit aperture name,PRIMARY,JWST,False,"This keyword specifies which of NIRSpec's pre-defined, fixed-width slits was used to collect spectroscopic data. The chosen slit defines the precise spatial region on the sky from which light is dispersed.",80,"For spectroscopic data, knowing the exact slit used is highly relevant for understanding the spatial resolution and sky coverage.",
OPMODE,"NIRSpec operating mode (MSASPEC, IFU, IMAGE, FIXEDSLIT, etc.)",Instrument,string,NIRSpec lamp operating mode,PRIMARY,JWST,False,"This keyword describes the overall operational mode of the NIRSpec instrument during data acquisition, such as spectroscopy using the Micro-Shutter Array (MSASPEC), Integral Field Unit (IFU), or fixed slits (FIXEDSLIT), or even simple imaging (IMAGE). It provides a fundamental classification of the data's purpose and format.",95,This is an absolutely essential keyword as it immediately tells the user the fundamental nature and type of the observation.,
CCCSTATE,"MIRI contamination control cover state (OPEN, CLOSED, LOCKED)",Instrument,string,Contamination control cover state,PRIMARY,JWST,False,"This keyword indicates the state of MIRI's contamination control cover, which protects the instrument from particulate contamination. It will typically be 'OPEN' for science observations and 'CLOSED' or 'LOCKED' for protection during non-observing periods.",40,"It's useful for confirming the validity of science data, but it's an operational state rather than a direct scientific parameter.",
DETMODE,"Detector mode: FLUSH_MODE, TEST_PATTERN, CLOCKING, or EXPOSURE",Instrument,string,Detector mode,PRIMARY,JWST,False,"This keyword describes the operational state of the detector during data collection, such as 'EXPOSURE' for science data, or 'FLUSH_MODE' or 'TEST_PATTERN' for non-science operations. It indicates whether the detector was actively collecting scientific light.",80,This is highly relevant for validating that the data represents a real science exposure and not some other detector operation.,
DATAMODL,"Type of data model (e.g., ImageModel, CubeModel)",Instrument,string,Type of data model,PRIMARY,JWST,False,"This keyword specifies the high-level data model used to structure the FITS file's contents, such as 'ImageModel' for a 2D image or 'CubeModel' for a 3D spectral cube. It helps software interpret and present the data correctly.",60,"It helps the application correctly display the data, which benefits the user by ensuring proper interpretation and interaction.",
FOCUSPOS,FGS focus mechanism position in millimeters (−4.0 to 4.0),Instrument,float,FGS focus mechanism position,PRIMARY,JWST,False,This keyword records the exact position of the Fine Guidance Sensor's (FGS) focus mechanism in millimeters. It indicates the precise optical focus setting for the FGS at the time of the observation.,30,"This is an internal instrument detail primarily useful for FGS performance analysis or debugging, not a typical science parameter.",
FWCPOS,NIRISS filter wheel encoder position (millimeters),Instrument,float,NIRISS filter wheel encoder position,PRIMARY,JWST,False,This keyword indicates the precise mechanical encoder position of the NIRISS instrument's filter wheel in millimeters. This value correlates to which specific filter or disperser element was placed in the optical path.,35,"While related to the filter, the actual filter name keyword is far more relevant to users than the physical encoder position.",
PWCPOS,NIRISS pupil wheel encoder position (millimeters),Instrument,float,NIRISS pupil wheel encoder position,PRIMARY,JWST,False,"This keyword indicates the precise physical position of the pupil wheel in the JWST NIRISS instrument, measured in millimeters. It describes the mechanical configuration of the instrument's optical path, affecting how light is routed and processed internally.",15,"This is a low-level engineering detail for instrument configuration, not directly useful for typical data analysis or display.",
PILIN,Pupil imaging lens in use (T or F),Instrument,boolean,Pupil imaging lens in use,PRIMARY,JWST,False,"This boolean keyword indicates whether the pupil imaging lens was actively engaged in the optical path during the observation. This lens is primarily used for specific internal calibration purposes, allowing engineers to monitor the instrument's optical health.",45,"This keyword indicates a specific instrument configuration often relevant for detailed calibration, not general scientific interpretation.",
MIRNGRPS,MIRI flight system number of groups,Instrument,integer,MIRI flight system number of groups,PRIMARY,JWST,False,"For JWST's MIRI instrument, this keyword specifies the number of 'groups' acquired for each integration during an observation. A group is a set of non-destructive detector reads combined to reduce noise, forming a fundamental unit of MIRI's data acquisition and directly impacting exposure time and noise.",75,"This keyword describes a fundamental aspect of the MIRI detector readout, crucial for understanding exposure, noise characteristics, and data quality.",
MIRNFRMS,MIRI flight system number of frames,Instrument,integer,MIRI flight system number of frames,PRIMARY,JWST,False,"This keyword, specific to the JWST MIRI instrument, records the number of individual 'frames' or non-destructive reads within each 'group' during an observation. It determines how many raw samples contribute to each grouped measurement, directly influencing data quality and noise properties.",75,"This keyword describes a fundamental aspect of the MIRI detector readout, crucial for understanding exposure, noise characteristics, and data quality.",
PROPAPER,Proposed aperture name,Instrument,string,Proposed aperture name,PRIMARY,HST,False,"This keyword stores the name of the intended or proposed aperture that was planned for use during an observation, reflecting the initial observing strategy. It provides context for the observation setup, especially when compared with the aperture that was actually used.",55,"This keyword provides context about the planned observation configuration, useful for validating or understanding the final 'APERTURE' used.",
APERTURE,Aperture name used for the observation,Instrument,string,Aperture name,PRIMARY,HST; GALEX; Chandra; IUE,False,"This crucial keyword identifies the specific physical aperture, such as a slit, filter wheel position, or detector region, that was actually used during the observation. It defines the instrument's field of view and optical path, directly impacting the observed data and its scientific interpretation.",95,This keyword is essential for understanding the actual field of view and optical path used for the observation.,
PREIMAGE,Name of reference image used to measure position for this source,Instrument,string,Pre-image filename,PRIMARY,HST,False,"This keyword provides the file name or identifier of a reference image that was used to precisely determine the position of a target source prior to the primary observation. This is vital for accurate target acquisition, especially for instruments with small fields of view or integral field units.",60,This keyword is useful for advanced users to understand target acquisition and astrometric precision of the observation.,
CMD_TSEL,"SCE test pattern: COLUMNS, ROWS, FRAMES, or ALL",Instrument,string,SCE test pattern,PRIMARY,JWST,False,"This keyword specifies the type of test pattern applied to the detector during a specific Spacecraft Command and Telemetry System (SCE) test. It indicates whether the test focused on columns, rows, individual frames, or all aspects of the detector readout for engineering purposes.",10,This keyword relates to internal engineering tests and offers no direct value for interpreting scientific observations.,
IS_IMPRT,Exposure flagged as a leakcal or imprint exposure,Instrument,boolean,Imprint flag,PRIMARY,JWST,False,This boolean keyword indicates whether the current exposure was specifically taken for 'leakcal' (leakage current calibration) or 'imprint' calibration purposes. These specialized exposures are used to characterize detector characteristics and improve the quality of science data.,70,This keyword helps users immediately identify whether an exposure contains science data or is a specific type of calibration frame.,
MSASTATE,"NIRSpec MSA state: ALLOPEN, ALLCLOSED, or CONFIGURED",Instrument,string,NIRSpec MSA state,PRIMARY,JWST,False,"For JWST's NIRSpec instrument, this keyword describes the state of the Micro-Shutter Array (MSA). It indicates whether all shutters were open (for target acquisition or flat fields), all were closed (for darks), or if a specific configuration was applied to observe multiple targets simultaneously.",85,"This keyword is crucial for understanding the configuration of the NIRSpec Micro-Shutter Array, directly impacting which objects were observed.",
MSAMETFL,NIRSpec MSA metadata file name,Instrument,string,NIRSpec MSA metadata file name,PRIMARY,JWST,False,"This keyword stores the filename of the Micro-Shutter Array (MSA) configuration used for the observation. The MSA allows NIRSpec to observe multiple targets simultaneously, and this file details which shutters were open and where they were pointed, which is critical for understanding the data's scientific context.",55,"Useful for advanced users needing to trace specific MSA configurations for multi-object spectroscopy, but not essential for general data viewing.",
MSAMETID,Unique identifier within a visit for MSA configuration collection,Instrument,integer,MSA configuration identifier,PRIMARY,JWST,False,"This integer identifies a specific collection of Micro-Shutter Array (MSA) configurations used within a single observation visit. It helps link the observed data to the precise setup of the MSA, which is crucial for understanding which targets were observed in what order.",45,"This identifier helps track the specific MSA configuration for advanced analysis, but its direct user utility is limited without context.",
MSACONID,Unique identifier of all MSA configurations within a visit,Instrument,integer,MSA configuration group identifier,PRIMARY,JWST,False,"This integer provides a unique identifier for the complete set of Micro-Shutter Array (MSA) configurations utilized throughout an entire observation visit. It's a high-level identifier that encompasses all MSA setups planned for a specific observing program visit, allowing researchers to track the overall multi-object spectroscopy strategy.",40,"This identifier tracks the entire suite of MSA configurations for a visit, offering context for advanced users but not direct utility for general data inspection.",
NRS_NORM,Number of normal pixels per block in NIRSpec IRS2 readout,Instrument,integer,Normal pixels per block in IRS2 readout,PRIMARY,JWST,False,"This keyword specifies the count of standard, light-sensitive pixels within each block of data read out by the NIRSpec instrument in IRS2 mode. Understanding this value is important for analyzing the raw data structure and potential noise characteristics of the detector.",30,"This keyword describes an internal detail of the detector readout, primarily relevant for instrument scientists or advanced data processing.",
NRS_REF,Number of interleaved reference pixels per block in NIRSpec IRS2 readout,Instrument,integer,Reference pixels per block in IRS2 readout,PRIMARY,JWST,False,"This keyword indicates the number of dedicated reference pixels interleaved with normal data pixels in each readout block of the NIRSpec instrument in IRS2 mode. These reference pixels do not sense light and are used to monitor and subtract common-mode noise from the adjacent data pixels, critical for data quality.",30,"This keyword describes an internal detail of the detector readout for noise correction, primarily relevant for instrument scientists or advanced data processing.",
GWA_XTIL,NIRSpec grating wheel averaged X-tilt sensor value,Instrument,float,Grating wheel averaged X-tilt,PRIMARY,JWST,False,"This keyword records the averaged reading from a sensor measuring the X-axis tilt of the NIRSpec Grating Wheel Assembly (GWA). This value helps in precisely determining the orientation of the grating, which directly impacts the accuracy of wavelength calibration and spectral resolution.",25,"This is an engineering diagnostic for instrument health and precise grating positioning, not directly interpreted by typical end-users.",
GWA_YTIL,NIRSpec grating wheel averaged Y-tilt sensor value,Instrument,float,Grating wheel averaged Y-tilt,PRIMARY,JWST,False,"This keyword records the averaged reading from a sensor measuring the Y-axis tilt of the NIRSpec Grating Wheel Assembly (GWA). Like the X-tilt, this value is crucial for monitoring the precise mechanical alignment of the grating, ensuring accurate spectral dispersion and wavelength calibration.",25,"This is an engineering diagnostic for instrument health and precise grating positioning, not directly interpreted by typical end-users.",
GWA_TILT,NIRSpec grating wheel temperature sensor calibrated value,Instrument,float,Grating wheel temperature sensor,PRIMARY,JWST,False,"This keyword represents the calibrated temperature measurement from a sensor on the NIRSpec Grating Wheel Assembly (GWA). Temperature is a critical environmental factor that can affect the mechanical stability and optical performance of the grating, so this value helps engineers monitor instrument conditions.",25,"This is an engineering diagnostic for instrument health and stability, not directly interpreted by typical end-users.",
GWA_PXAV,NIRSpec grating wheel REC-averaged calibrated X-tilt value,Instrument,float,Grating wheel REC-averaged X-tilt,PRIMARY,JWST,False,"This keyword stores a REC-averaged (likely a specific internal processing term) and calibrated value for the X-axis tilt of the NIRSpec Grating Wheel Assembly. It's a refined version of the raw X-tilt measurement, used internally for precise instrument alignment and calibration processes.",20,"This keyword represents a highly processed engineering diagnostic, solely relevant for instrument specialists.",
GWA_PYAV,NIRSpec grating wheel REC-averaged calibrated Y-tilt value,Instrument,float,Grating wheel REC-averaged Y-tilt,PRIMARY,JWST,False,"This keyword stores a REC-averaged (likely a specific internal processing term) and calibrated value for the Y-axis tilt of the NIRSpec Grating Wheel Assembly. Similar to GWA_PXAV, it's a refined Y-tilt measurement that is used internally within the instrument's calibration and alignment systems to ensure optimal spectral performance.",20,"This keyword represents a highly processed engineering diagnostic, solely relevant for instrument specialists.",
GWA_XP_V,NIRSpec grating wheel X-position tilt sensor calibrated value,Instrument,float,Grating wheel X-position tilt sensor,PRIMARY,JWST,False,This keyword indicates the calibrated X-axis tilt position of the Grating Wheel Assembly (GWA) in the NIRSpec instrument on JWST. It's a precise diagnostic value that helps ensure the grating is correctly positioned for spectroscopic measurements.,25,"This keyword is highly technical and specific to instrument diagnostics, offering little direct value to typical users.",
GWA_YP_V,NIRSpec grating wheel Y-position tilt sensor calibrated value,Instrument,float,Grating wheel Y-position tilt sensor,PRIMARY,JWST,False,This keyword indicates the calibrated Y-axis tilt position of the Grating Wheel Assembly (GWA) in the NIRSpec instrument on JWST. It's a precise diagnostic value that helps ensure the grating is correctly positioned for spectroscopic measurements.,25,"This keyword is highly technical and specific to instrument diagnostics, offering little direct value to typical users.",
OBJECT,Name of the observed object,Observation,string,Name of the observed object,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Pan-STARRS,False,This keyword provides the common name of the celestial object that was observed. It is fundamental for immediately identifying the subject of the astronomical data.,100,"This keyword is essential as it directly identifies the celestial target, which is fundamental for any user.",
OBS_ID,Programmatic observation identifier,Observation,string,Programmatic observation identifier,PRIMARY,JWST; HST; Chandra,False,"This is a unique, programmatic identifier for a specific observation or dataset. It allows users to consistently track, reference, and retrieve the particular data file within astronomical archives.",80,"This identifier is highly useful for managing, tracking, and referencing specific datasets within astronomical archives.",
OBSERVTN,Observation number within the program,Observation,string,Observation number,PRIMARY,JWST,False,This keyword specifies the observation number within a broader scientific program. It helps sequentialize and organize data when a program consists of multiple individual observations.,75,This keyword helps users understand the sequential order and context of observations within a larger scientific program.,
PROGRAM,Program number (proposal ID),Observation,string,Program number,PRIMARY,JWST; HST,False,This keyword indicates the overarching program number or proposal ID under which the observation was executed. It links the data directly to the scientific proposal and research context.,95,This keyword is essential for understanding the scientific context and original research proposal associated with the observation.,
VISIT,Visit number within the observation,Observation,string,Visit number,PRIMARY,JWST,False,"This keyword identifies a specific 'visit' number, which often represents a distinct scheduling block or execution attempt for an observation. It helps manage complex observational campaigns that might be broken into multiple scheduled segments.",70,"This keyword helps users track specific scheduling blocks or execution attempts within a larger observation, aiding in data organization.",
VISIT_ID,Full visit identifier string,Observation,string,Visit identifier,PRIMARY,JWST,False,"This is a comprehensive, unique identifier string for a specific 'visit', often combining various programmatic identifiers. It provides a precise way to reference a particular scheduled observation block.",80,This comprehensive identifier is very useful for precise tracking and referencing of specific scheduled observation blocks.,
VISITGRP,Visit group identifier for parallel synchronization,Observation,string,Visit group identifier,PRIMARY,JWST,False,"This keyword identifies a group of visits that were scheduled to be executed simultaneously, often involving multiple instruments or facilities working in parallel. It helps understand coordinated observing strategies.",60,"This keyword is useful for advanced users to understand coordinated or parallel observations, but less so for general data interpretation.",
SEQ_ID,Parallel sequence identifier within a group,Observation,string,Parallel sequence identifier,PRIMARY,JWST,False,"This keyword specifies an identifier for a particular parallel sequence within a visit group. It helps to differentiate components of complex, synchronized observations where multiple steps or instruments are involved.",45,"This is a specific identifier for components of complex parallel observations, primarily useful for detailed data processing or scheduling analysis.",
ACT_ID,Activity identifier (base-36) within a sequence,Observation,string,Activity identifier,PRIMARY,JWST,False,"This keyword provides an internal identifier for a specific 'activity' or step within a larger, often complex, observation sequence. It helps to uniquely track individual components or actions taken during the data acquisition process.",30,"This is primarily an internal tracking identifier, rarely offering direct scientific insight for typical users.",
EXPOSURE,Exposure request number,Observation,string,Exposure request number,PRIMARY,JWST,False,"This keyword denotes the specific request number for a particular exposure within an observation. It helps to differentiate individual frames or captures that might be part of a larger set, such as a dither sequence or a time series.",45,"Useful for advanced users needing to correlate specific raw exposures, but less critical for general data interpretation.",
TEMPLATE,Observation template used (APT template name),Observation,string,Observation template used,PRIMARY,JWST,False,"This keyword specifies the high-level observation template used from the Astronomer's Proposal Tool (APT) to define the observation. It provides crucial context about the overall observing strategy, such as 'NIRCam Imaging' or 'MIRI MRS Spectroscopy'.",85,"Knowing the template provides critical high-level context about the observation's design, purpose, and instrument configuration.",
OBSLABEL,Proposer-defined label for the observation,Observation,string,Proposer label for the observation,PRIMARY,JWST,False,"This is a descriptive, human-readable label assigned by the astronomer who proposed the observation, often indicating the scientific target or specific goal. It serves as a concise, user-friendly summary of the observation's intent.",95,This proposer-defined label provides an immediate and invaluable human-readable summary of the observation's scientific purpose.,
OBSFOLDR,APT observation folder name containing this observation,Observation,string,Name of the APT observation folder,PRIMARY,JWST,False,This keyword indicates the name of the folder within the Astronomer's Proposal Tool (APT) that grouped this observation with others. It helps organize and categorize related observations within a larger scientific program.,55,"It helps contextualize an observation within a larger program, which is useful for advanced data exploration and management.",
OBSMODE,Observation mode,Observation,string,Observation mode,PRIMARY,HST; Chandra; XMM-OM,False,"This keyword describes the specific operational mode of the instrument used for the observation, such as 'IMAGING', 'SPECTROSCOPY', or a more detailed mode like 'WFC3 UVIS Imaging'. It's essential for understanding the data's format and intended use.",90,Essential for understanding the instrument configuration and the fundamental nature of the collected data.,
OBSTYPE,"Observation type (e.g., IMAGING, SPECTROSCOPIC)",Observation,string,Observation type,PRIMARY,HST; Pan-STARRS,False,"This keyword provides a broad classification of the astronomical observation, indicating its fundamental nature, such as whether it is an 'IMAGING' observation, 'SPECTROSCOPIC' observation, or a 'CALIBRATION' frame.",95,"Crucial for immediately understanding the fundamental category of the data, such as whether it is an image or a spectrum.",
BKGDTARG,Exposure is flagged as a background target,Observation,boolean,Background target,PRIMARY,JWST,False,This boolean keyword indicates whether the observed field or target was specifically chosen for measuring background emission rather than being the primary scientific target. This distinction is vital for correctly interpreting and using the data.,80,Knowing if an observation is intended for background measurement helps users correctly interpret and utilize the data.,
IS_PSF,Exposure intended as a PSF reference observation,Observation,boolean,PSF reference observation,PRIMARY,JWST,False,"This boolean keyword indicates if the exposure's primary purpose was to characterize the instrument's Point Spread Function (PSF). PSF reference data is crucial for subsequent image deconvolution, astrometry, and precise photometry of other scientific observations.",75,Essential for users performing PSF-related analysis or understanding the calibration context of the observation.,
SELFREF,Coronagraphic observation is a self-referencing PSF survey,Observation,boolean,Self-referencing PSF survey,PRIMARY,JWST,False,This boolean keyword specifically flags if a coronagraphic observation is designed as a 'self-referencing PSF survey'. This indicates a specialized technique where the observation itself is used to characterize its own PSF for high-contrast imaging.,50,This specialized flag is primarily relevant for users engaged in advanced coronagraphic data analysis and calibration.,
ENG_QUAL,Engineering database quality flag (OK or SUSPECT),Observation,string,Engineering DB quality indicator,PRIMARY,JWST,False,"This flag indicates the overall quality of the engineering data associated with the observation, stating if it's considered ""OK"" or ""SUSPECT"". It's important for understanding the reliability of other engineering parameters used in data processing and for assessing the overall integrity of the observation.",55,It's moderately relevant as it provides a high-level indication of data quality that advanced users might check.,
ENGQLPTG,Source and quality of spacecraft pointing keywords,Observation,string,Source of pointing keyword values,PRIMARY,JWST,False,"This keyword describes the origin and reliability of the spacecraft's pointing information, indicating whether the pointing data is derived from primary sensors or has been refined. Understanding its value helps assess the accuracy of the celestial coordinates associated with the observation.",60,"This keyword is useful for advanced users to assess the reliability of the pointing information, which impacts astrometric accuracy.",
TARGPROP,Proposer-preferred name for the target (2–31 characters),Target,string,Proposer's name for the target,PRIMARY,JWST; HST,False,"This is the name given to the astronomical object by the scientist who proposed the observation. It often reflects a specific research interest or a common alias, providing a familiar label for the observed celestial body.",95,This keyword is highly relevant as it provides a user-friendly and proposal-specific name for the observed celestial object.,
TARGNAME,Target name as specified in the proposal or standard catalog name,Target,string,Standard astronomical catalog name for target,PRIMARY,JWST; HST; Chandra,False,"This keyword provides the primary, often standard catalog, name of the astronomical object observed. It's crucial for identifying the target and linking the data to other observations or catalog entries.",100,This is an essential keyword for all users to identify the celestial object captured in the image.,
TARGTYPE,"Target type: FIXED, MOVING, or GENERIC",Target,string,"Type of target (fixed, moving, generic)",PRIMARY,JWST,False,"This keyword categorizes the nature of the observed target, indicating if it's a ""FIXED"" (stationary), ""MOVING"" (e.g., planet, asteroid), or ""GENERIC"" (undefined) object. This distinction is important for understanding the observational strategy and expected data characteristics.",80,"This keyword is commonly useful as it informs users whether the observation targeted a stationary object or a moving body, influencing data interpretation.",
TARG_RA,Right ascension of the target at mid-exposure (degrees),Target,float,[deg] Target RA at mid time of exposure,PRIMARY,JWST; HST; Chandra; SwiftUVOT,False,"This keyword specifies the Right Ascension coordinate of the target at the midpoint of the observation's exposure, expressed in degrees. It's fundamental for locating the object in the sky and for astrometric analysis.",100,This is an essential keyword for precisely locating the observed target in the celestial sphere.,
TARG_DEC,Declination of the target at mid-exposure (degrees),Target,float,[deg] Target Dec at mid time of exposure,PRIMARY,JWST; HST; Chandra; SwiftUVOT,False,"This keyword specifies the Declination coordinate of the target at the midpoint of the observation's exposure, expressed in degrees. Together with Right Ascension, it provides the target's precise celestial position.",100,This is an essential keyword for precisely locating the observed target in the celestial sphere.,
RA_TARG,Right ascension of the target (degrees) — alternate form,Target,float,[deg] Right ascension of the target,PRIMARY,HST; GALEX; Spitzer,False,"This keyword provides an alternate representation for the Right Ascension coordinate of the observed target, expressed in degrees. It serves the same purpose as TARG_RA, indicating the celestial longitude of the object.",98,"This is an essential keyword for precisely locating the observed target in the celestial sphere, serving the same function as TARG_RA.",
DEC_TARG,Declination of the target (degrees) — alternate form,Target,float,[deg] Declination of the target,PRIMARY,HST; GALEX; Spitzer,False,"This keyword provides an alternate representation for the Declination coordinate of the observed target, expressed in degrees. It serves the same purpose as TARG_DEC, indicating the celestial latitude of the object.",98,"This is an essential keyword for precisely locating the observed target in the celestial sphere, serving the same function as TARG_DEC.",
TARGURA,Target right ascension uncertainty at mid-exposure (arcsec),Target,float,[arcsec] Target RA uncertainty,PRIMARY,JWST,False,"This keyword quantifies the uncertainty in the Right Ascension coordinate of the target at mid-exposure, given in arcseconds. It's important for assessing the precision of the reported target position, especially for astrometric measurements.",65,This keyword is useful for advanced users needing to assess the astrometric precision of the target's Right Ascension.,
TARGUDEC,Target declination uncertainty at mid-exposure (arcsec),Target,float,[arcsec] Target Dec uncertainty,PRIMARY,JWST,False,"This value indicates how precisely the telescope knows the target's north-south position (declination) at the time of observation, expressed in arcseconds. It's important for assessing the accuracy of astrometric measurements and understanding the limits of positional precision.",55,It's useful for assessing data quality and astrometric precision but not a primary display item for most users.,
PROP_RA,Proposed right ascension from APT (degrees),Target,float,[deg] Proposer's target RA,PRIMARY,JWST; HST,False,This keyword stores the Right Ascension (east-west coordinate) of the target as originally requested by the observer in the Astronomer's Proposal Tool (APT). It represents the intended target location before any potential on-board adjustments or refinements during observation.,90,"It provides the intended target right ascension, which is highly relevant for confirming the observation's purpose.",
PROP_DEC,Proposed declination from APT (degrees),Target,float,[deg] Proposer's target Dec,PRIMARY,JWST; HST,False,This keyword stores the Declination (north-south coordinate) of the target as originally requested by the observer in the Astronomer's Proposal Tool (APT). It represents the intended target location before any potential on-board adjustments or refinements during observation.,90,"It provides the intended target declination, which is highly relevant for confirming the observation's purpose.",
MU_RA,Proper motion of the target in RA from APT (arcsec/year),Target,float,[arcsec/yr] Target proper motion in RA,PRIMARY,JWST,False,"This specifies the target's proper motion in Right Ascension, detailing how much its position across the sky changes each year in the east-west direction, as provided by the observer. This information is crucial for accurately tracking moving targets or for precise astrometry over long periods.",75,"Proper motion is important for many astrophysical targets, especially for accurate astrometry and target identification over time.",
MU_DEC,Proper motion of the target in Dec from APT (arcsec/year),Target,float,[arcsec/yr] Target proper motion in Dec,PRIMARY,JWST,False,"This specifies the target's proper motion in Declination, detailing how much its position across the sky changes each year in the north-south direction, as provided by the observer. This information is crucial for accurately tracking moving targets or for precise astrometry over long periods.",75,"Proper motion is important for many astrophysical targets, especially for accurate astrometry and target identification over time.",
MU_EPOCH,Epoch of the proper motion values (UT date string),Target,string,Target proper motion epoch in UT,PRIMARY,JWST,False,"This is the specific date (epoch) for which the provided proper motion values (MU_RA, MU_DEC) are valid. It's essential because proper motion describes a rate of change, so this reference point in time is critical for calculating a target's position at any other given date.",70,This keyword is critical for correctly interpreting and applying the proper motion values.,
SRCTYAPT,"APT source type for spectroscopy: POINT, EXTENDED, or UNKNOWN",Target,string,APT source type,PRIMARY,JWST,False,"This indicates how the observer classified the target source for spectroscopy: as a 'POINT' source (like a star), an 'EXTENDED' source (like a galaxy), or 'UNKNOWN'. This classification guides data reduction and interpretation, as different source types require different analytical approaches.",80,"This provides critical context for understanding spectroscopic data, especially for source characterization and data reduction choices.",
PA_APER,"Position angle of the aperture used (degrees, east of north)",Target,float,Position angle of aperture used (deg),SCI,JWST; HST,False,"This specifies the orientation of the instrument's aperture or slit on the sky, measured in degrees eastward from North. Understanding this angle is crucial for aligning the observed data with the physical structure of celestial objects, particularly for extended sources with discernible morphology.",85,"This keyword is essential for understanding the orientation of the instrument's view on the sky, vital for spatial analysis of extended sources.",
PA_V3,"Position angle of the V3 axis (degrees, east of north)",Target,float,[deg] position angle of V3-axis of JWST,SCI,JWST,False,"This keyword specifies the position angle of the telescope's V3 axis on the sky, measured in degrees eastward from North. The V3 axis serves as a key reference direction for the observatory, helping to define the overall orientation of the spacecraft and its instruments during an observation.",60,"This is primarily an internal observatory orientation reference, less directly relevant for typical end-user data interpretation than the aperture angle.",
RA_V1,Right ascension of the telescope V1 axis (degrees),Target,float,[deg] RA of telescope V1 axis,SCI,JWST,False,"This specifies the Right Ascension coordinate of the telescope's V1 axis. As V1 is the primary pointing axis of the telescope, this value indicates the celestial Right Ascension to which the telescope was pointed at the time of observation.",95,"This keyword provides the fundamental pointing right ascension of the telescope, which is crucial coordinate information.",
DEC_V1,Declination of the telescope V1 axis (degrees),Target,float,[deg] Dec of telescope V1 axis,SCI,JWST,False,"This keyword specifies the Declination (celestial north-south coordinate) of the telescope's V1 axis, indicating the precise sky location the instrument was pointed towards. It is a fundamental coordinate for pinpointing the target observed and placing the data spatially on the celestial sphere.",95,"Directly indicates a fundamental celestial coordinate of the observation, essential for locating the data on the sky.",
TITLE,Proposal title,Program,string,Proposal title,PRIMARY,JWST; HST,False,"This keyword provides the official title of the astronomical proposal under which the data were acquired. It offers a concise, plain-language summary of the scientific investigation, giving users immediate context about the observation's purpose and goals.",85,"Provides immediate scientific context and the purpose of the observed data, highly useful for quick understanding.",
